ACC,No,NS
SINAR BAUT JAYA,VEBA000068,SINAR BAUT JAYA
SARI BUMI BANGUNAN,VEBA000069,SARI BUMI BANGUNAN
KUSUMA JAYA,VEBA000070,KUSUMA JAYA
JAYA MAKMUR 2,VEBA000071,JAYA MAKMUR 2
ASIA BEARINDO SEJAHTERA,VEBA000072,ASIA BEARINDO SEJAHTERA
SERBA AGUNG TEKNIK,VEBA000073,SERBA AGUNG TEKNIK
FATA TEHNIK,VEBA000074,FATA TEHNIK
TEHNIK ABADI TOKO,VEBA000075,TEHNIK ABADI TOKO
RAJA SANITARY MURAH,VEBA000076,RAJA SANITARY MURAH
"EXCELINDO TIMBANGAN, CV",VEBA000077,"EXCELINDO TIMBANGAN, CV"
AJIDHARMA CORPORINDO PT,VEBA000078,AJIDHARMA CORPORINDO PT
PRIMA KARYA AGUNG PT,VEBA000079,PRIMA KARYA AGUNG PT
SUMBER MANDIRI PRIMA,VEBA000080,SUMBER MANDIRI PRIMA
SUMBER MANDIRI,VEBA000081,SUMBER MANDIRI
"CAHAYA MAS, UD",VEBA000082,"CAHAYA MAS, UD"
INDUSTRIAL MULTI FAN PT,VEBA000083,INDUSTRIAL MULTI FAN PT
LOGAM MAS,VEBA000084,LOGAM MAS
SINAR KENCANA UD,VEBA000085,SINAR KENCANA UD
PANCA JAYA,VEBA000086,PANCA JAYA
SURYA BARU,VEBA000087,SURYA BARU
MERAK JAYA BETON PT,VEBA000088,MERAK JAYA BETON PT
"BESI PERDANA, TOKO",VEBA000089,"BESI PERDANA, TOKO"
"SEPATU REMAJA, TOKO",VEBA000090,"SEPATU REMAJA, TOKO"
"NEW STAR KAWITAN, TOKO",VEBA000091,"NEW STAR KAWITAN, TOKO"
"SENTRAS BOX INDONESIA, PT",VEBA000092,"SENTRAS BOX INDONESIA, PT"
"DUTA SURYA PERMATA, PT",VEBA000093,"DUTA SURYA PERMATA, PT"
SUMBER HIDUP BARU 3,VEBA000094,SUMBER HIDUP BARU 3
"MUTIARA PUTIH, TOKO",VEBA000095,"MUTIARA PUTIH, TOKO"
KELIRKU CRAFT & SOUVENIR,VEBA000096,KELIRKU CRAFT & SOUVENIR
TOTAL DWI DAYA,VEBA000097,TOTAL DWI DAYA
HASTA JAYA MARINA,VEBA000098,HASTA JAYA MARINA
MITRA 10,VEBA000099,MITRA 10
SEMI JAYA,VEBA000100,SEMI JAYA
ESIA RUBBER,VEBA000101,ESIA RUBBER
MANDIRI JAYA ARTHA,VEBA000102,MANDIRI JAYA ARTHA
MUSTOFA JAYA TEKNIK,VEBA000103,MUSTOFA JAYA TEKNIK
KURNIA MULIA CITRA LESTARI . PT,VEBA000104,KURNIA MULIA CITRA LESTARI . PT
"JAYA SENTOSA, TOKO",VEBA000105,"JAYA SENTOSA, TOKO"
ANEKA RIA,VEBA000106,ANEKA RIA
AMAZON.COM,VEBA000107,AMAZON.COM
FIKRI JAYA CV,VEBA000108,FIKRI JAYA CV
SINAR SURYA TIMUR,VEBA000109,SINAR SURYA TIMUR
MAREL POULTRY B.V. (SPARE PART),VEBA000110,MAREL POULTRY B.V. (SPARE PART)
"LESTARINDO AMPUH PERKASA, PT",VEBA000111,"LESTARINDO AMPUH PERKASA, PT"
IRA JAYA ALLUMINIUM,VEBA000112,IRA JAYA ALLUMINIUM
"SURYA UTAMA TEKNOLOGI, PT",VEBA000113,"SURYA UTAMA TEKNOLOGI, PT"
"GUNAWAN FAJAR, PT",VEBA000114,"GUNAWAN FAJAR, PT"
TUMPENG VARIANI,VEBA000115,TUMPENG VARIANI
UTOMO CIPTA SENTOSA.PT,VEBA000116,UTOMO CIPTA SENTOSA.PT
LESTARI SINAR JAYA,VEBA000117,LESTARI SINAR JAYA
SENANG PD,VEBA000118,SENANG PD
"SARANA VETERINARIA JAYA ABADI, PT",VEBA000119,"SARANA VETERINARIA JAYA ABADI, PT"
SILGA. PT,VEBA000120,SILGA. PT
ANUGERAH CEMERLANG JAYA .CV,VEBA000121,ANUGERAH CEMERLANG JAYA .CV
CERITA BRASINDO ABADI CHEMICAL INDUSTRY . PT,VEBA000122,CERITA BRASINDO ABADI CHEMICAL INDUSTRY . PT
ANEKA ELEKTRONIK,VEBA000123,ANEKA ELEKTRONIK
CITA RASA PRIMA . PT,VEBA000124,CITA RASA PRIMA . PT
ANEKA UTAMA INDAH,VEBA000125,ANEKA UTAMA INDAH
ANEKA TC,VEBA000126,ANEKA TC
PERDANA TOKO BESI,VEBA000127,PERDANA TOKO BESI
RJ STEEL,VEBA000128,RJ STEEL
HARIANTO TEKNIK CV,VEBA000129,HARIANTO TEKNIK CV
SENTRAL NIAGA UNGGAS PT,VEBA000130,SENTRAL NIAGA UNGGAS PT
KIMIA FARMA APOTEK,VEBA000131,KIMIA FARMA APOTEK
MIURA,VEBA000132,MIURA
HAJAR ASWAD CV,VEBA000133,HAJAR ASWAD CV
M PAULUS FRANCISCUS P,VEBA000134,M PAULUS FRANCISCUS P
KOBEVINDO SAKTI,VEBA000135,KOBEVINDO SAKTI
TAMBAH JAYA UD,VEBA000136,TAMBAH JAYA UD
TAMBAH JAYA UD,VEBA000137,TAMBAH JAYA UD
NEW PRAKTIKA ALKESINDO PT,VEBA000138,NEW PRAKTIKA ALKESINDO PT
HARIANTO TEKNIK CV,VEBA000139,HARIANTO TEKNIK CV
PRIMA FARMASINDO LESTARI PT,VEBA000140,PRIMA FARMASINDO LESTARI PT
SUMATRACO LANGGENG MAKMUR PT,VEBA000141,SUMATRACO LANGGENG MAKMUR PT
AKASIA CV,VEBA000142,AKASIA CV
JAYA SENTOSA,VEBA000143,JAYA SENTOSA
ANUGERAH BESTARI JAYA RAYA PT,VEBA000144,ANUGERAH BESTARI JAYA RAYA PT
ASIAN BELTINDO JAYA PT,VEBA000145,ASIAN BELTINDO JAYA PT
AXIA MULTI SARANA PT,VEBA000146,AXIA MULTI SARANA PT
BARAKA SARANA TAMA PT,VEBA000147,BARAKA SARANA TAMA PT
MITRA MAJU,VEBA000148,MITRA MAJU
ALATBERATJATIM.COM,VEBA000149,ALATBERATJATIM.COM
IBU DESI - SURABAYA,VEBA000150,IBU DESI - SURABAYA
SUMBER CIPTA SOLUSI PT (INKJET CODING SOLUTION),VEBA000151,SUMBER CIPTA SOLUSI PT (INKJET CODING SOLUTION)
BAROKAH JAYA,VEBA000152,BAROKAH JAYA
KOIRI,VEBA000153,KOIRI
ENAM EMPAT TOKO,VEBA000154,ENAM EMPAT TOKO
BORNEO,VEBA000155,BORNEO
CATERING CHIO,VEBA000156,CATERING CHIO
CHIO CATHERING,VEBA000157,CHIO CATHERING
BAYU SETIAWAN,VEBA000158,BAYU SETIAWAN
GEMILANG  SUKSES PLASINDO,VEBA000159,GEMILANG  SUKSES PLASINDO
POLITAMA PRIMA ABADI PT,VEBA000160,POLITAMA PRIMA ABADI PT
PT. ALTINDO MULIA,VEBA000161,"ALTINDO MULIA, PT"
ALTINDO MULIA PT,VEBA000162,ALTINDO MULIA PT
DELTA BAUT TOKO,VEBA000163,DELTA BAUT TOKO
MULIA GUNUNG MAS PT,VEBA000164,MULIA GUNUNG MAS PT
